PolNumber,FileName,Status,ErrorDetails,ExpectedResult,Timestamp
1101900969,WDQuote_1101900969.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1101928556,WDQuote_1101928556.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102021849,WDQuote_1102021849.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102034503,WDQuote_1102034503.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102105549,WDQuote_1102105549.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102111018,WDQuote_1102111018.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102168422,WDQuote_1102168422.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102182894,WDQuote_1102182894.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102192760,WDQuote_1102192760.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102202130,WDQuote_1102202130.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102213541,WDQuote_1102213541.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102224738,WDQuote_1102224738.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102225115,WDQuote_1102225115.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102248273,WDQuote_1102248273.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102263249,WDQuote_1102263249.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102265483,WDQuote_1102265483.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102380100,WDQuote_1102380100.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102386842,WDQuote_1102386842.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102388079,WDQuote_1102388079.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102391347,WDQuote_1102391347.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102395603,WDQuote_1102395603.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102424478,WDQuote_1102424478.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102427406,WDQuote_1102427406.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102597562,WDQuote_1102597562.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102612486,WDQuote_1102612486.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102620026,WDQuote_1102620026.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102620224,WDQuote_1102620224.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1102622642,WDQuote_1102622642.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1103097699,WDQuote_1103097699.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1103106938,WDQuote_1103106938.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500501794,WDQuote_1500501794.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500504459,WDQuote_1500504459.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500504764,WDQuote_1500504764.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500504806,WDQuote_1500504806.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500504814,WDQuote_1500504814.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500505076,WDQuote_1500505076.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500506116,WDQuote_1500506116.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500506223,WDQuote_1500506223.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500506801,WDQuote_1500506801.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500507742,WDQuote_1500507742.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500508435,WDQuote_1500508435.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500508658,WDQuote_1500508658.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500509243,WDQuote_1500509243.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
1500509359,WDQuote_1500509359.xml,PASS,,ExpectedToPass=1,2026-03-20T19:30:13.320678+00:00
